boro,order_no,main_st,from_st,to_st,sos
B,P-332693  ,METROPOLITAN AVENUE,MCGRAW AVENUE,HUGH J GRANT CIRCLE,W
B,P-332701  ,UNIONPORT ROAD,GUERLAIN STREET,WOOD ROAD,W
B,P-332702  ,METROPOLITAN AVENUE,PURDY STREET,RED OAK DRIVE,N
B,P-332703  ,UNIONPORT ROAD,EAST TREMONT AVENUE,GUERLAIN STREET,W
B,P-332709  ,EASTCHESTER ROAD,STILLWELL AVENUE,SEMINOLE STREET,E
B,P-332711  ,HOLLAND AVENUE,PELHAM PARKWAY SOUTH,LYDIG AVENUE,E
B,P-332712  ,WILLIAMSBRIDGE ROAD,SACKETT AVENUE,POPLAR STREET,W
B,P-332734  ,EAST FORDHAM ROAD,HUGHES AVENUE,HOFFMAN STREET,N
B,P-332735  ,EAST FORDHAM ROAD,HOFFMAN STREET,BATHGATE AVENUE,N
B,P-332739  ,HUGHES AVENUE,EAST  186 STREET,EAST  187 STREET,E
B,P-332746  ,METROPOLITAN AVENUE,MAPLE DRIVE,LINDEN DRIVE,S
B,P-332748  ,UNIONPORT ROAD,STARLING AVENUE,METROPOLITAN AVENUE,E
B,P-332750  ,DAVIDSON AVENUE,WEST  184 STREET,WEST FORDHAM ROAD,W
B,P-332758  ,EAST  192 STREET,GRAND CONCOURSE,VALENTINE AVENUE,S
B,P-332759  ,EAST  192 STREET,GRAND CONCOURSE,VALENTINE AVENUE,N
B,P-332760  ,EAST  204 STREET,HULL AVENUE,PERRY AVENUE,N
B,P-332761  ,EAST  210 STREET,STEUBEN AVENUE,KOSSUTH AVENUE,S
B,P-332764  ,GRAND AVENUE,WEST  188 STREET,WEST FORDHAM ROAD,W
B,P-332765  ,GRAND AVENUE,WEST FORDHAM ROAD,WEST  184 STREET,W
B,P-332766  ,HULL AVENUE,EAST  205 STREET,EAST  204 STREET,E
B,P-332767  ,HULL AVENUE,EAST  205 STREET,EAST  204 STREET,W
B,P-332775  ,PERRY AVENUE,EAST MOSHOLU PARKWAY NORTH,EAST  204 STREET,W
B,P-332790  ,WEST FORDHAM ROAD,LORING PLACE NORTH,ANDREWS AVENUE NORTH,S
B,P-332794  ,METROPOLITAN AVENUE,METROPOLITAN OVAL,MAPLE DRIVE,S
B,P-332797  ,PELHAM PARKWAY SOUTH,BOSTON ROAD,WHITE PLAINS ROAD,N
B,P-332803  ,WEST FORDHAM ROAD,SEDGWICK AVENUE,LORING PLACE NORTH,S
B,P-333035  ,WILKINSON AVENUE,WESTCHESTER AVENUE,HOBART AVENUE,N
B,P-333037  ,BUHRE AVENUE,EDISON AVENUE,PILGRIM AVENUE,N
B,P-333040  ,MIDDLETOWN ROAD,HUTCHINSON RIVER PARKWAY EAST,MAYFLOWER AVENUE,S
B,P-333041  ,EAST TREMONT AVENUE,WESTCHESTER AVENUE,FINK AVENUE,E
B,P-333045  ,EAST TREMONT AVENUE,ERICSON PLACE,LATTING STREET,W
B,P-333073  ,METROPOLITAN AVENUE,PINE DRIVE,HAWTHORNE DRIVE,N
B,P-333074  ,EAST TREMONT AVENUE,BRUCKNER BOULEVARD,BARKLEY AVENUE,W
B,P-333076  ,EAST TREMONT AVENUE,BARKLEY AVENUE,LAFAYETTE AVENUE,W
B,P-333077  ,EAST TREMONT AVENUE,SAMPSON AVENUE,MILES AVENUE,S
B,P-333080  ,WILKINSON AVENUE,HOBART AVENUE,WESTCHESTER AVENUE,S
B,P-333081  ,BUHRE AVENUE,PILGRIM AVENUE,WESTCHESTER AVENUE,S
B,P-333085  ,EAST TREMONT AVENUE,RANDALL AVENUE,ROOSEVELT AVENUE,W
B,P-333088  ,EAST TREMONT AVENUE,LATTING STREET,WATERBURY AVENUE,W
B,P-333091  ,EAST TREMONT AVENUE,EAST  177 STREET,SAMPSON AVENUE,S
B,P-333400  ,HOBART AVENUE,ROBERTS AVENUE,BUHRE AVENUE,E
B,P-333416  ,SCHLEY AVENUE,EAST TREMONT AVENUE,CROSS BRONX EXPRESSWAY,N
B,P-333418  ,WILLIAMSBRIDGE ROAD,HALPERIN AVENUE,SAINT RAYMOND AVENUE,E
B,P-333423  ,HALPERIN AVENUE,WILLIAMBRIDGE ROAD,BLONDELL AVENUE,N
B,P-333424  ,ST RAYMOND AVENUE,WILLIAMBRIDGE ROAD,BLONDELL AVENUE,S
B,P-333425  ,HALPERIN AVENUE,WILLIAMBRIDGE ROAD,BLONDELL AVENUE,S
B,P-333427  ,BRUCKNER BOULEVARD*N S/R,EDISON AVENUE,EAST TREMONT AVENUE,N
B,P-333428  ,FRISBY AVENUE,BENSON STREET,EAST TREMONT AVENUE,S
B,P-333429  ,FRISBY AVENUE,BENSON STREET,EAST TREMONT AVENUE,N
B,P-333430  ,SAINT RAYMOND AVENUE,BENSON STREET,EAST TREMONT AVENUE,N
B,P-333431  ,SAINT RAYMOND AVENUE,BENSON STREET,EAST TREMONT AVENUE,S
B,P-333432  ,EAST TREMONT AVENUE,MILES AVENUE,GERBER PLACE,E
B,P-333433  ,MILES AVENUE,REVERE AVENUE,EAST TREMONT AVENUE,S
B,P-333434  ,MILES AVENUE,EAST TREMONT AVENUE,REVERE AVENUE,N
B,P-333435  ,MILES AVENUE,LOGAN AVENUE,EAST TREMONT AVENUE,N
B,P-333436  ,SAMPSON AVENUE,REVERE AVENUE,EAST TREMONT AVENUE,S
B,P-333437  ,MILES AVENUE,EAST TREMONT AVENUE,LOGAN AVENUE,S
B,P-333438  ,SAMPSON AVENUE,EAST TREMONT AVENUE,EAST  177 STREET,S
B,P-333440  ,BUTLER PLACE,SEABURY AVENUE,COMMERCE AVENUE,S
B,P-333441  ,COMMERCE AVENUE,BUTLER PLACE,HALSEY STREET,W
B,P-333442  ,DILL PLACE,REVERE AVENUE,EAST TREMONT AVENUE,S
B,P-333443  ,LAFAYETTE AVENUE,REVERE AVENUE,EAST TREMONT AVENUE,S
B,P-333444  ,EAST TREMONT AVENUE,LAFAYETTE AVENUE,PHILIP AVENUE,S
B,P-333453  ,ZEREGA AVENUE,LYON AVENUE,WESTCHESTER AVENUE,W
B,P-333456  ,EAST TREMONT AVENUE,BRUCKNER BOULEVARD*S,BRUCKNER BOULEVARD*N,E
B,P-333457  ,REVERE AVENUE,BARKLEY AVENUE,BRUCKNER BOULEVARD,E
B,P-333460  ,EAST TREMONT AVENUE,PHILIP AVENUE,DILL PLACE,S
B,P-333461  ,GREENE PLACE,EDISON AVENUE,EAST TREMONT AVENUE,N
B,P-333462  ,OTIS AVENUE,EDISON AVENUE,EAST TREMONT AVENUE,S
B,P-333464  ,EAST TREMONT AVENUE,GREENE PLACE,OTIS AVENUE,E
B,P-333465  ,EAST TREMONT AVENUE,LAFAYETTE AVENUE,SOMMER PLACE,E
B,P-333467  ,LAFAYETTE AVENUE,EDISON AVENUE,EAST TREMONT AVENUE,N
B,P-333468  ,EAST TREMONT AVENUE,CROSS BRONX EXPRESSWAY,SCHLEY AVENUE,N
B,P-333469  ,EAST TREMONT AVENUE,MEYERS STREET,HASKIN STREET,E
B,P-333470  ,SCHLEY AVENUE,EDISON AVENUE,EAST TREMONT AVENUE,N
B,P-333471  ,SCHLEY AVENUE,EAST TREMONT AVENUE,EDISON AVENUE,S
B,P-333472  ,RANDALL AVENUE,EDISON AVENUE,EAST TREMONT AVENUE,N
B,P-333473  ,OTIS AVENUE,EDISON AVENUE,EAST TREMONT AVENUE,N
B,P-333474  ,EAST TREMONT AVENUE,OTIS AVENUE,BRUCKNER BOULEVARD,N
B,P-333475  ,EAST TREMONT AVENUE,BRUCKNER BOULEVARD,MEYERS STREET,E
B,P-333477  ,RANDALL AVENUE,EAST TREMONT AVENUE,EDISON AVENUE,S
B,P-333478  ,BUHRE AVENUE,CROSBY AVENUE,HOBART AVENUE,S
B,P-333479  ,MIDDLETOWN ROAD,CROSBY AVENUE,PLYMOUTH AVENUE,N
B,P-333481  ,EDISON AVENUE,WESTCHESTER AVENUE,ROBERTS AVENUE,W
B,P-333482  ,MIDDLETOWN ROAD,GILLESPIE AVENUE,CROSBY AVENUE,S
B,P-333483  ,MIDDLETOWN ROAD,CROSBY AVENUE,HOLLYWOOD AVENUE,S
B,P-333484  ,MIDDLETOWN ROAD,HOBART AVENUE,CROSBY AVENUE,N
B,P-333485  ,CROSBY AVENUE,MIDDLETOWN ROAD,ROBERTS AVENUE,E
B,P-333486  ,MIDDLETOWN ROAD,MULFORD AVENUE,WESTCHESTER AVENUE,N
B,P-333488  ,EDISON AVENUE,ST THERESA AVENUE,BUHRE AVENUE,W
B,P-333489  ,EDISON AVENUE,ST THERESA AVENUE,WESTCHESTER AVENUE,E
B,P-333490  ,FINK AVENUE,BLONDELL AVENUE,WESTCHESTER SQUARE,S
B,P-333491  ,PONTON AVENUE,WESTCHESTER SQUARE,BLONDELL AVENUE,S
B,P-333492  ,PONTON AVENUE,WESTCHESTER SQUARE,BLONDELL AVENUE,N
B,P-333494  ,BURR AVENUE,EAST  196 STREET,WESTCHESTER AVENUE,W
B,P-333496  ,ST PAUL AVENUE,EAST  196 STREET,WESTCHESTER AVENUE,W
B,P-333499  ,EAST TREMONT AVENUE,SCOTT PLACE,SULLIVAN PLACE,E
B,P-333500  ,LAFAYETTE AVENUE,EAST TREMONT AVENUE,EDISON AVENUE,S
B,P-333502  ,SAINT RAYMOND AVENUE,EAST TREMONT AVENUE,WILLIAMSBRIDGE ROAD,S
B,P-333505  ,EAST TREMONT AVENUE,RANDALL AVENUE,PHILIP AVENUE,E
B,P-333506  ,EAST TREMONT AVENUE,LASALLE AVENUE,CODDINGTON AVENUE,E
B,P-333507  ,EAST TREMONT AVENUE,WATERBURY AVENUE,LA SALLE AVENUE,E
B,P-333508  ,EAST TREMONT AVENUE,CODDINGTON AVENUE,HARRINGTON AVENUE,E
B,P-333510  ,EAST TREMONT AVENUE,HARRINGTON AVENUE,DUDLEY AVENUE,E
B,P-333517  ,BENSON STREET,BENSON STREET,LANE AVENUE,N
B,P-333556  ,BENSON STREET,TRATMAN AVENUE,LANE AVENUE,S
B,P-333557  ,HOBART AVENUE,WESTCHESTER AVENUE,ST THERESA AVENUE,E
B,P-333587  ,EAST TREMONT AVENUE,BARKLEY AVENUE,GREENE PLACE,E
B,P-333588  ,CONTINENTAL AVENUE,WESTCHESTER AVENUE,EAST  194 STREET,W
B,P-333592  ,BENEDICT AVENUE,METROPOLITAN AVENUE,PUGSLEY AVENUE,S
B,P-333760  ,WEST  240 STREET,BROADWAY,IRWIN AVENUE,N
B,P-334079  ,WEST  259 STREET,RIVERDALE AVENUE,DELAFIELD AVENUE,S
B,P-334080  ,WEST  259 STREET,DELAFIELD AVENUE,RIVERDALE AVENUE,N
B,P-334081  ,TIBBETT AVENUE,WEST  238 STREET,WEST  240 STREET,E
B,P-334082  ,WEST  236 STREET,DEAD END,BROADWAY,N
B,P-334084  ,KAPPOCK STREET,KNOLLS CRESCENT,JOHNSON AVENUE,W
B,P-334086  ,WEST  261 STREET,DELAFIELD AVENUE,RIVERDALE AVENUE,N
B,P-334087  ,WEST  261 STREET,RIVERDALE AVENUE,DELAFIELD AVENUE,S
B,P-334089  ,RIVERDALE AVENUE,WEST  258 STREET,WEST  259 STREET,E
B,P-334091  ,MANHATTAN COLLEGE PARKWAY,WALDO AVENUE,WEST  242 STREET,S
B,P-334092  ,EXTERIOR STREET,WEST  225 STREET,WEST  230 STREET,E
B,P-334094  ,WEST  232 STREET,BROADWAY,KINGSBRIDGE AVENUE,N
B,P-334099  ,WEST  233 STREET,BROADWAY,KINGSBRIDGE AVENUE,S
B,P-334100  ,WEST  231 STREET,CORLEAR AVENUE,TIBBETT AVENUE,N
B,P-334101  ,WEST  231 STREET,TIBBETT AVENUE,IRWIN AVENUE,N
B,P-334189  ,WEST  231 STREET,TIBBETT AVENUE,CORLEAR AVENUE,S
B,P-334190  ,WEST  231 STREET,KINGSBRIDGE AVENUE,GODWIN TERRACE,S
B,P-334191  ,GODWIN TERRACE,WEST  231 STREET,WEST  230 STREET,W
B,P-334193  ,WEST  231 STREET,GODWIN TERRACE,BROADWAY,S
B,P-334195  ,WEST  242 STREET,MANH COLLEGE PARKWAY,BROADWAY,S
B,P-334330  ,WEST  231 STREET,BROADWAY,ALBANY CRESCENT,S
B,P-334332  ,WEST  231 STREET,ALBANY CRESCENT,BAILEY AVENUE,S
B,P-334333  ,BAILEY AVENUE,WEST  231 STREET,ALBANY CRESCENT,W
B,P-334335  ,CORLEAR AVENUE,WEST  240 STREET,WEST  238 STREET,W
B,P-334339  ,MOSHOLU AVENUE,FIELDSTON ROAD,POST ROAD,E
B,P-334340  ,MOSHOLU AVENUE,POST ROAD,BROADWAY,E
B,P-334341  ,MOSHOLU AVENUE,WEST  255 STREET,FIELDSTON ROAD,E
B,P-334343  ,WEST  231 STREET,BAILEY AVENUE,ALBANY CRESCENT,N
B,P-334345  ,JOHNSON AVENUE,WEST  235 STREET,WEST  236 STREET,E
B,P-334348  ,RIVERDALE AVENUE,WEST  238 STREET,WEST  239 STREET,E
B,P-334352  ,WEST  235 STREET,NETHERLAND AVENUE,JOHNSON AVENUE,S
B,P-334353  ,WEST  235 STREET,JOHNSON AVENUE,NETHERLAND AVENUE,N
B,P-334354  ,WEST  235 STREET,JOHNSON AVENUE,OXFORD AVENUE,S
B,P-334355  ,WEST  235 STREET,OXFORD AVENUE,JOHNSON AVENUE,N
B,P-334357  ,WEST  236 STREET,CAMBRIDGE AVENUE,RIVERDALE AVENUE,S
B,P-334358  ,OXFORD AVENUE,WEST  236 STREET,WEST  235 STREET,W
B,P-334359  ,JOHNSON AVENUE,WEST  236 STREET,WEST  235 STREET,W
B,P-334362  ,WEST  236 STREET,NETHERLAND AVENUE,JOHNSON AVENUE,S
B,P-334365  ,RIVERDALE AVENUE,WEST  261 STREET,WEST  259 STREET,W
B,P-334366  ,GOULDEN AVENUE,SEDGEWICK AVENUE,WEST  197 STREET,W
B,P-334433  ,JOHNSON AVENUE,WEST  232 STREET,WEST  235 STREET,E
B,P-334436  ,WEST KINGSBRIDGE ROAD,UNIVERSITY AVENUE,WEBB AVENUE,N
B,P-334439  ,VERVEELEN PLACE,DEAD END,BROADWAY,N
B,P-334441  ,WEST  233 STREET,BROADWAY,BAILEY AVENUE,N
B,P-334443  ,WEST  235 STREET,NETHERLAND AVENUE,HENRY HUDSON PARKWAY,N
B,P-334444  ,WEST  238 STREET,RIVERDALE AVENUE,FIELDSTON ROAD,S
B,P-334445  ,OXFORD AVENUE,WEST  235 STREET,JOHNSON AVENUE,W
B,P-334446  ,RIVERDALE AVENUE,WEST  236 STREET,WEST  235 STREET,W
B,P-334448  ,WEST  236 STREET,JOHNSON AVENUE,OXFORD AVENUE,S
B,P-334452  ,RIVERDALE AVENUE,WEST  259 STREET,WEST  256 STREET,W
B,P-334453  ,WEST  236 STREET,RIVERDALE AVENUE,OXFORD AVENUE,N
B,P-334455  ,WEST  231 STREET,ALBANY CRESCENT,BROADWAY,N
B,P-334456  ,WEST  234 STREET,BAILEY AVENUE,BROADWAY,N
B,P-335286  ,RANDALL AVENUE,REVERE AVENUE,EAST TREMONT AVENUE,S
B,P-335580  ,MORRISON AVENUE,EAST  172 STREET,WESTCHESTER AVENUE,E
B,P-335912  ,KATONAH AVENUE,EAST  236 STREET,EAST  235 STREET,W
B,P-335913  ,KATONAH AVENUE,EAST  237 STREET,EAST  236 STREET,W
B,P-335915  ,EAST GUN HILL ROAD,ADEE AVENUE,FENTON AVENUE,N
B,P-335917  ,FENTON AVENUE,EAST GUNHILL ROAD,KNAPP STREET,E
B,P-335921  ,EAST GUNHILL ROAD,SEYMOUR AVENUE,FISH AVENUE,N
B,P-335922  ,EAST GUN HILL ROAD,FISH AVENUE,BURKE AVENUE,N
B,P-335924  ,WHITE PLAINS ROAD,NEREID AVENUE,EAST  237 STREET,W
B,P-335927  ,WHITE PLAINS ROAD,EAST  229 STREET,EAST  228 STREET,W
B,P-335945  ,WHITE PLAINS ROAD,EAST  235 STREET,EAST  236 STREET,E
B,P-335947  ,WHITE PLAINS ROAD,EAST  229 STREET,EAST  230 STREET,E
B,P-335948  ,WHITE PLAINS ROAD,EAST  228 STREET,EAST  229 STREET,E
B,P-335953  ,WHITE PLAINS ROAD,EAST  240 STREET,EAST  239 STREET,W
B,P-335954  ,WHITE PLAINS ROAD,EAST  232 STREET,EAST  231 STREET,W
B,P-335960  ,WHITE PLAINS ROAD,NEREID AVENUE,EAST  239 STREET,E
B,P-335966  ,KATONAH AVENUE,EAST  240 STREET,EAST  239 STREET,W
B,P-335967  ,KATONAH AVENUE,EAST  238 STREET,EAST  237 STREET,W
B,P-335979  ,WHITE PLAINS ROAD,EAST  237 STREET,EAST  236 STREET,W
B,P-335994  ,WHITE PLAINS ROAD,PENFIELD STREET,EAST  242 STREET,E
B,P-336249  ,EAST TREMONT AVENUE,WHITTEMORE AVENUE,BRUCKNER BOULEVARD,W
B,P-336269  ,WHITE PLAINS ROAD,ST OUEN STREET,PENFIELD STREET,E
B,P-336276  ,WHITE PLAINS ROAD,EAST  240 STREET,EAST  241 STREET,E
B,P-336277  ,KATONAH AVENUE,EAST  238 STREET,EAST  239 STREET,E
B,P-336278  ,EAST GUN HILL ROAD,WHITE PLAINS ROAD,WILLET AVENUE,N
B,P-336281  ,WHITE PLAINS ROAD,EAST  236 STREET,EAST  237 STREET,E
B,P-336292  ,EAST TREMONT AVENUE,SCHLEY AVENUE,RANDALL AVENUE,E
B,P-336293  ,MANH COLLEGE PARKWAY*N RDWY,BROADWAY,POST ROAD,N
B,P-336294  ,MANHATTAN COLLEGE PARKWAY,MANH COLLEGE PARKWAY*MN RDWY,MANH COLLEGE PARKWAY*S RDWY,E
B,P-336295  ,MANH COLLEGE PARKWAY*MN RDWY,MANHATTAN COLLEGE PARKWAY,BROADWAY,S
B,P-336296  ,WEST  240 STREET,TIBBETT AVENUE,CORLEAR AVENUE,S
B,P-336297  ,WEST AVENUE,DEAD END,WOOD ROAD,E
B,P-336301  ,WESTCHESTER AVENUE,WHEELER AVENUE,EVERGREEN AVENUE,N
B,P-336304  ,ELDER AVENUE,WESTCHESTER AVENUE,EAST  172 STREET,E
B,P-336305  ,WESTCHESTER AVENUE,COLGATE AVENUE,BRONX RIVER AVENUE,N
B,P-336313  ,WHITE PLAINS ROAD,EAST  231 STREET,EAST  230 STREET,W
B,P-336568  ,EAST  188 STREET,MARION AVENUE,WEBSTER AVENUE,N
B,P-336680  ,EAST FORDHAM ROAD,LORILLARD PLACE,HOFFMAN STREET,S
B,P-336681  ,LORILLARD PLACE,EAST FORDHAM ROAD,EAST  189 STREET,W
B,P-336682  ,EAST FORDHAM ROAD,BATHGATE AVENUE,LORILLARD PLACE,S
B,P-336686  ,EAST TREMONT AVENUE,ARTHUR AVENUE,LAFONTAINE AVENUE,N
B,P-336687  ,EAST TREMONT AVENUE,LAFONTAINE AVENUE,MONTEREY AVENUE,N
B,P-336688  ,EAST TREMONT AVENUE,MONTEREY AVENUE,THIRD AVENUE,N
B,P-336689  ,EAST TREMONT AVENUE,CROTONA AVENUE,BELMONT AVENUE,N
B,P-336690  ,EAST TREMONT AVENUE,BELMONT AVENUE,HUGHES AVENUE,N
B,P-336691  ,EAST  187 STREET,HUGHES AVENUE,BELMONT AVENUE,S
B,P-336692  ,EAST TREMONT AVENUE,BELMONT AVENUE,CROTONA AVENUE,S
B,P-336693  ,EAST TREMONT AVENUE,CROTONA AVENUE,CLINTON AVENUE,S
B,P-336695  ,EAST  187 STREET,CROTONA AVENUE,PROSPECT AVENUE,S
B,P-336698  ,HOFFMAN STREET,EAST  187 STREET,EAST  188 STREET,W
B,P-336702  ,EAST  187 STREET,PROSPECT AVENUE,CROTONA AVENUE,N
B,P-336703  ,EAST  187 STREET,CROTONA AVENUE,BEAUMONT AVENUE,N
B,P-336704  ,EAST  187 STREET,BEAUMONT AVENUE,CAMBRELENG AVENUE,N
B,P-336708  ,HUGHES AVENUE,EAST  187 STREET,EAST  188 STREET,W
B,P-336710  ,EAST  187 STREET,CAMBRELENG AVENUE,BELMONT AVENUE,N
B,P-336712  ,HUGHES AVENUE,EAST  186 STREET,EAST  187 STREET,W
B,P-336713  ,EAST  187 STREET,ARTHUR AVENUE,HUGHES AVENUE,S
B,P-336715  ,EAST TREMONT AVENUE,MARMION AVENUE,MAPES AVENUE,N
B,P-336716  ,EAST TREMONT AVENUE,SOUTHERN BOULEVARD,MARMION AVENUE,N
B,P-336717  ,EAST TREMONT AVENUE,CLINTON AVENUE,CROTONA AVENUE,N
B,P-336720  ,EAST TREMONT AVENUE,PROSPECT AVENUE,CLINTON AVENUE,N
B,P-336721  ,CLINTON AVENUE,EAST  178 STREET,E